Ubicazione;Data_avvio_primo_Proc;TipoVia;DescrizioneVia;Civico;Bar;CodiceVia;ZD;durata_attivita_tipo;insegna;numero_addetti;posto_speciale_cf;attivita_prevalente;settore_merceologico;settore_storico_n;settore_storico_preval;settore_storico_s;superficie_vendita
VIA LORENTEGGIO N. 240 , isolato:051, accesso: accesso esterno, (z.d. 6);26/02/2003;VIA ;LORENTEGGIO;240;;5132;6;;lidl;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) attivita' prevalente: supermercato di generi alimentari e non 
";discount alimentare;settore alimentare/non aliment;1112
VIA DELLA SPIGA num.019/a, isolato:260, accesso: accesso esterno, (z.d. 1);12/07/2000;VIA ;DELLA SPIGA;19;A;226;1;;tiffany;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
";gioielleria e oreficeria;settore non alimentare;266
VIA VERRI PIETRO N. 10 ,via monte napoleone 007, isolato:183, accesso: accesso esterno, (z.d. 1);28/07/2000;VIA ;VERRI PIETRO;10;;223;1;;larusmiani;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
";abbigliamento;settore non alimentare;500
VIA BENADIR N. 5 , isolato:288, (z.d. 2);08/08/2000;VIA ;BENADIR;5;;2380;2;;;;;;non alimentare;"elettrodomestici, radio-tv, dischi, strumenti musicali 
";grande magazz. con alimentari;settore non alimentare;1500
VIA OROPA num.004, isolato:015, accesso: accesso esterno, (z.d. 2);08/08/2000;VIA ;OROPA;4;;2381;2;;melablu;;;;non alimentare;"abbigliamento e accessori 
";abbigliamento;settore non alimentare;1107
VIA DARWIN CARLO ROBERTO N. 2 , isolato:081, accesso: accesso esterno, (z.d. 6);01/08/2000;VIA ;DARWIN CARLO ROBERTO;2;;5238;6;;di perdi;;;;alimentare,non alimentare;;minimercati;settore alimentare/non aliment;390
VLE JENNER EDOARDO N. 29 spaccio interno, isolato:100, (z.d. 9);22/09/2000;VLE ;JENNER EDOARDO;29;;1230;9;;;;;;non alimentare;"(con esclusione di quei prodotti per i quali e' previsto per legge specifico diploma) attivita' prevalente: abbigliamento 
";abbigliamento;settore non alimentare;400
PZA SANTA FRANCESCA ROMANA N. 3 , isolato:108, accesso: accesso esterno, (z.d. 3);02/08/2000;PZA ;SANTA FRANCESCA ROMANA;3;;2183;3;;playlife;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
";abbigliamento;settore alimentare/non aliment;395
VIA BENADIR N. 5 ang. v. palmanova, isolato:288, accesso: accesso esterno, (z.d. 2);27/07/2000;VIA ;BENADIR;5;;2380;2;;;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
";supermercato alimentare;settore alimentare/non aliment;2500
PZA PIEMONTE num.002/4, isolato:133, (z.d. 7);03/08/2000;PZA ;PIEMONTE;2;4;6254;7;;fined finanz.editoriale;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) attivita' prevalente libri e dischi 
";libreria;settore non alimentare;1973
VIA BOCCONI FERDINANDO N. 8 , isolato:102, accesso: accesso esterno, (z.d. 5);23/11/2000;VIA ;BOCCONI FERDINANDO;8;;4050;5;;libreria egea;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
";libreria;settore non alimentare;733
VIA BENADIR N. 5 , isolato:288, accesso: accesso esterno, (z.d. 2);09/01/2001;VIA ;BENADIR;5;;2380;2;;;;;;non alimentare;"calzature, articoli in cuoio, pelletteria 
";calzature;settore non alimentare;1500
VLE MOLISE N. 56 , isolato:089, accesso: accesso esterno, (z.d. 4);12/01/2001;VLE ;MOLISE;56;;3178;4;;;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) 
";supermercato alimentare;settore alimentare/non aliment;1000
CSO BUENOS AIRES N. 54 , isolato:045, accesso: accesso esterno, (z.d. 3);02/02/2001;CSO ;BUENOS AIRES;54;;2129;3;;impala srl.;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) attivita' prevalente: commercio di generi di abbigliamento e relativi accessori 
";abbigliamento;settore non alimentare;1200
PZA VETRA N. 21 (z.d. 1);13/09/1997;PZA ;VETRA;21;;515;1;;;;;;non alimentare;;;settore non alimentare;340
VIA FELTRE N. 30 , isolato:067, accesso: accesso esterno, (z.d. 3);23/02/2001;VIA ;FELTRE;30;;2652;3;;;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specificodiploma) attivita' prevalente:articoli di illuminazione 
";lampadari;settore non alimentare;1100
VIA SANT' ANDREA num.010/a, (z.d. 1);12/06/2003;VIA ;SANT' ANDREA;10;A;222;1;;;;;;non alimentare;;;settore non alimentare;290
CSO DI PORTA ROMANA N. 132 , isolato:039, accesso: accesso esterno, (z.d. 1);17/05/2001;CSO ;DI PORTA ROMANA;132;;402;1;;spazio fitecarraldo;;;;non alimentare;"mobili 
";mobili;settore non alimentare;439
VIA DELLA CHIESA ROSSA N. 43 , isolato:042, accesso: area ap.rec., (z.d. 5);25/05/2001;VIA ;DELLA CHIESA ROSSA;43;;5321;5;;lidl;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) 
";supermercato alimentare;settore alimentare/non aliment;1270
VIA LORENTEGGIO N. 219 giordani 7 (pru 3.6), accesso: accesso esterno, (z.d. 6);26/04/1999;VIA ;LORENTEGGIO;219;;5132;6;Permanente;esselunga centro commerci;;;;alimentare,Non Alimentare;"(con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) 
";supermercato alimentare;settore alimentare/non aliment;4500
VIA PALIZZI FILIPPO N. 69 , accesso: accesso esterno, (z.d. 8);23/04/1999;VIA ;PALIZZI FILIPPO;69;;7451;8;;licenza madre ce palizzi;;centro commerciale;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) 
";centro commerciale;settore alimentare/non aliment;5960
VIA PITTERI RICCARDO p.r.u. 8.1 pitteri-rubatino num.084, isolato:134, accesso: accesso esterno, (z.d. 3);26/04/1999;VIA;PITTERI RICCARDO;84;;2674;3;;esselunga;;;;alimentare,non alimentare;"(con l'escusione dei prodotti per i quali Š previsto per legge uno specifico diploma) 
";supermercato alimentare;settore alimentare/non aliment;3800
VIA PADOVA N. 166 , isolato:285, accesso: accesso esterno, (z.d. 2);06/07/2001;VIA ;PADOVA;166;;2275;2;;penny market;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attivita' prevalente:supermercato 
";supermercato alimentare;settore alimentare/non aliment;893
PLE BOLOGNA N. 7 , isolato:005, accesso: accesso esterno, (z.d. 4);31/01/2001;PLE ;BOLOGNA;7;;4172;4;;conad;;;;alimentare,non alimentare;;supermercato alimentare;settore alimentare/non aliment;670
VIA PALAZZOLO DON LUIGI N. 20 area ex portello, isolato:249, accesso: accesso esterno, (z.d. 8);30/07/2001;VIA ;PALAZZOLO DON LUIGI;20;;7522;8;Permanente;iper portello;;;;alimentare,non alimentare;"con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attivita' prevalente: ipermercati 9/11/2010: comunicazione vendita farmaci da banco pg. 854356 del 04/11/2010 
";supermercato alimentare;settore alimentare/non aliment;5403
VIA PRINA GIUSEPPE N. 11 , isolato:102, accesso: accesso interno, (z.d. 8);15/11/1999;VIA ;PRINA GIUSEPPE;11;;7135;8;;emporio isola;;;;non alimentare;"(con esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) attivita' prevalente: abbigliamento 
";abbigliamento;settore non alimentare;400
VIA BOSCOVICH RUGGERO N. 49 , isolato:074, accesso: accesso esterno, (z.d. 3);17/08/2001;VIA ;BOSCOVICH RUGGERO;49;;2131;3;;blockbuster;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attivita' prevalente: 
";videocassette;settore alimentare/non aliment;293
VLE DORIA ANDREA N. 17 aff. az. tacit. rinnov., isolato:033, accesso: accesso esterno, (z.d. 3);13/09/2001;VLE ;DORIA ANDREA;17;;2230;3;;pd discount;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
";discount alimentare;settore alimentare/non aliment;340
VLE TROYA CARLO N. 18 , isolato:166, accesso: accesso interno, (z.d. 6);11/12/2001;VLE ;TROYA CARLO;18;;5140;6;;media world;;;;non alimentare;"(con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attivita' prevalente: commercio al dettaglio di elettrodomestici, radio, tv, hi-fi, dischi, materiale fotografico, ecc. 
";radio tv, elettrodom,app.radio;settore non alimentare;2350
VIA CEFALU' N. 2 (z.d. 8);14/12/2001;VIA ;CEFALU';2;;7370;8;;lidl;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attivita' prevalente:supermercato 
";discount alimentare;settore alimentare/non aliment;884
VIA DURINI N. 24 ,via durini 024, isolato:318, accesso: accesso esterno, (z.d. 1);28/12/2001;VIA ;DURINI;24;;313;1;;natuzzi;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) attivita' prevalente: vendita di mobili e complementi d'arredo 
";mobili;settore non alimentare;748
VIA ANTONINI GIACOMO N. 26 , isolato:099, accesso: accesso esterno, (z.d. 5);19/06/2001;VIA ;ANTONINI GIACOMO;26;;4250;5;;penny market;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specificodiploma) attivita' prevalente:supermercato 
";supermercato alimentare;settore alimentare/non aliment;857
PLE LODI N. 3 viale umbria ang. v.p.colletta, accesso: accesso interno, (z.d. 4);22/10/2001;PLE ;LODI;3;;4249;4;;ipercoop;;;;Alimentare,Non Alimentare;;supermercato alimentare;settore alimentare/non aliment;4125
PLE LODI N. 3 v.le umbria ang. v. p.colletta, isolato:181, accesso: accesso interno, (z.d. 4);22/10/2001;PLE ;LODI;3;;4249;4;;media world;;centro commerciale;;non alimentare;"elettrodomestici, radio-tv, dischi, materiale fotografico, ecc. 
";radio tv, elettrodom,app.radio;settore non alimentare;1981
PLE LODI N. 3 viale umbria ang. v.p.colletta, accesso: accesso esterno, (z.d. 4);22/10/2001;PLE ;LODI;3;;4249;4;;;;centro commerciale;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) 
";abbigliamento;settore non alimentare;820
VIA MANZONI ALESSANDRO num.021/23, isolato:313, accesso: accesso esterno, (z.d. 1);12/10/2001;VIA ;MANZONI ALESSANDRO;21;23;230;1;;le copen;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) attivita' prevalente: commercio abbigliamento e relativi accessori 
";abbigliamento donna;settore non alimentare;351
VIA GROSOTTO N. 9 ex area portello edificio 3, isolato:249, accesso: accesso esterno, (z.d. 8);06/02/2002;VIA ;GROSOTTO;9;;7328;8;;botanic;;;;alimentare,non alimentare;"grande magazzino - articoli per giardinaggio, animali vivi e articoli per il loro allevamento, alimenti per animali domestici 
";macch.e prod. per agricoltura macchine e prodotti per l' agricoltura;settore alimentare/non aliment;1400
VIA ORNATO LUIGI N. 169 ang. via del regno italico num.000, (z.d. 9);03/11/1987;VIA ;ORNATO LUIGI;169;;1591;9;Permanente;;;;;alimentare,non alimentare;"centro commerciale concessa prima proroga di attivazione per due anni. l'esercizi deve essere attivato entro il 26.06.2010 
";supermercato alimentare;settore alimentare/non aliment;4280
VIA MEUCCI ANTONIO num.041, accesso: accesso esterno, (z.d. 2);19/04/2002;VIA ;MEUCCI ANTONIO;41;;2497;2;;cargo (high-tech srl);;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specificodiplomaÿ attivita' prevalente:oggettistica e complementi d'arredo 
";mobili;settore non alimentare;1244
VIA DE ANGELI CARLO N. 1 ex v. pompeo leoni 18 pru 1.1, accesso: accesso interno, (z.d. 5);22/01/2002;VIA ;DE ANGELI CARLO;1;;4326;5;;licenza madre ce de angel;;centro commerciale;;non alimentare,alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) 
";centro commerciale;settore alimentare/non aliment;4900
VIA DE ANGELI CARLO N. 1 ex v. pompeo leoni 18 pru 1.1, accesso: accesso interno, (z.d. 5);04/06/2002;VIA ;DE ANGELI CARLO;1;;4326;5;;esselunga;;centro commerciale;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico dipoloma) 
";supermercato alimentare;settore alimentare/non aliment;4649
VIA GROSOTTO N. 7 pii portello comp u2 lotto 2a, (z.d. 8);12/06/2002;VIA ;GROSOTTO;7;;7328;8;;;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: articoli e abbigliamento per l'infanzia 
";;settore non alimentare;723
VIA TRAIANO MARCO ULPIO N. 79 pii portello comp u2-lotto 2a, isolato:249, accesso: accesso esterno, (z.d. 9);12/06/2002;VIA ;TRAIANO MARCO ULPIO;79;;7157;8;;;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: grande magazzino-articoli di abbigliamento e accessori-prodotti tessili e biancheria - calzature e articoli in cuoio 
";abbigliamento;settore non alimentare;1012
VIA TRAIANO MARCO ULPIO N. 79 pii portello comp u2-lotto 2a, isolato:249, accesso: accesso esterno, (z.d. 9);12/06/2002;VIA ;TRAIANO MARCO ULPIO;79;;7157;8;;;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: libri, giornali, cartoleria, elettrodomestici, radio-tv, dischi, strumenti musicali 
";abbigliamento;settore non alimentare;559
VIA TRAIANO MARCO ULPIO N. 79 pii portello comp u2-lotto 2a, isolato:249, (z.d. 9);12/06/2002;VIA ;TRAIANO MARCO ULPIO;79;;7157;8;;;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: calzature e articoli in cuoio 
";in sospensiva;settore non alimentare;375
VIA NOVARA N. 86 , isolato:129, accesso: accesso esterno, (z.d. 7);20/09/2002;VIA ;NOVARA;86;;6624;7;;esselunga;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attivita' prevalente: supermercato 
";supermercato alimentare;settore alimentare/non aliment;2490
VIA WASHINGTON GIORGIO N. 53 , isolato:266, accesso: accesso esterno, (z.d. 7);31/10/2002;VIA ;WASHINGTON GIORGIO;53;;6111;7;Permanente;la botteguccia;;;;Alimentare,Non Alimentare;;in sospensiva;settore alimentare/non aliment;2500
VIA PALIZZI FILIPPO N. 69 (z.d. 8);02/12/2002;VIA ;PALIZZI FILIPPO;69;;7451;8;;;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) 
";;settore non alimentare;760
VIA PALIZZI FILIPPO N. 69 (z.d. 8);02/12/2002;VIA ;PALIZZI FILIPPO;69;;7451;8;;esselunga;;centro commerciale;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) 
";supermercato alimentare;settore alimentare/non aliment;5040
VIA TRILUSSA N. 26 , isolato:063, accesso: accesso esterno, (z.d. 8);17/12/2002;VIA ;TRILUSSA;26;;7367;8;;unes;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: supermercato 
";supermercato alimentare;settore alimentare/non aliment;814
VIA OLGETTINA N. 60 interno osp. san raffaele, isolato:004, accesso: accesso interno, (z.d. 3);05/02/2003;VIA ;OLGETTINA;60;;2530;3;;di per di;;interno ospedali, ricoveri e simili;;alimentare,non alimentare;;minimercati;settore alimentare/non aliment;317
VLE MONZA num.289/2, isolato:120, accesso: accesso esterno, (z.d. 2);29/11/2002;VLE;MONZA;289;2;2274;2;;conad;;;;Non Alimentare;"l'affittanza d'azienda precedente scade il 10/06/2008 tacitamente rinnovabile per 7 anni a nome conad centro nord soc. cooperativa questa e' una subaffittanza d'azienda che scade il 31/12/2011 tacitamente rinnovabile 
";supermercato alimentare;settore alimentare/non aliment;1037
VIA LORENTEGGIO N. 240 (z.d. 6);11/03/2003;VIA ;LORENTEGGIO;240;;5132;6;;;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: supermercato
";;settore alimentare/non aliment;1012
VIA LITTA MODIGNANI ALESSANDRO N. 112 ();13/03/2003;VIA ;LITTA MODIGNANI ALESSANDRO;112;;1539;9;;;;;;non alimentare;"vendita esclusiva di auto nuove e usate (art. 38 comma a r.r. 3/2000) 
";;settore non alimentare;300
VIA TORINO N. 21 ,via torino 021, isolato:446, accesso: accesso esterno, (z.d. 1);26/03/2003;VIA ;TORINO;21;;543;1;;mango;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: abbigliamento e relativi accessori - calzature 
";abbigliamento;settore non alimentare;748
VIA VALASSINA N. 12 , isolato:073, accesso: accesso esterno, (z.d. 9);02/04/2003;VIA ;VALASSINA;12;;1314;9;;lidl supermarket;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: supermercato 
";supermercato alimentare;settore alimentare/non aliment;1300
VIA GUINTELLINO GUGLIELMO N. 26 (z.d. 6);15/04/2003;VIA ;GUINTELLINO GUGLIELMO;26;;5369;6;;;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: supermercato
";;settore alimentare/non aliment;1491
VIA MONTE NAPOLEONE num.004, (z.d. 1);12/05/2003;VIA ;MONTE NAPOLEONE;4;;219;1;;;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: abbigliamento ed accessori 
";abbigliamento;settore non alimentare;891
CSO BUENOS AIRES num.033/35, isolato:059, accesso: accesso esterno, (z.d. 3);01/10/2002;CSO ;BUENOS AIRES;33;35;2129;3;;ricordi medi store;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: libri e dischi 
";libreria;settore non alimentare;1190
VIA TADINO ALESSANDRO N. 53 , accesso: accesso esterno, (z.d. 3);25/06/2003;VIA ;TADINO ALESSANDRO;53;;2109;3;;la libreria dei ragazzi;;;;non alimentare;;libreria;xiv sub 3;300
VIA MAESTRI CAMPIONESI N. 7 , isolato:072, accesso: accesso esterno, (z.d. 4);04/04/2003;VIA ;MAESTRI CAMPIONESI;7;;3197;4;;gs supermercato;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: supermercato 
";supermercato alimentare;settore alimentare/non aliment;1416
VIA SANT' ANDREA num.010/a, isolato:261, accesso: accesso esterno, (z.d. 1);19/03/2003;VIA ;SANT' ANDREA;10;A;222;1;;chanel;;;;Non Alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: abbigliamento e relativi accessori
";abbigliamento donna;settore non alimentare;511
VIA CUNEO N. 4 , isolato:214, accesso: accesso esterno, (z.d. 7);27/06/2003;VIA ;CUNEO;4;;6281;7;;conbipel;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: abbigliamento, calzature,ecc. 
";abbigliamento;settore non alimentare;500
VIA GRASSI GIOVANNI BATTISTA N. 98 art. 38 c. 4 r.r. 3/2000, accesso: accesso esterno, (z.d. 8);20/10/2003;VIA ;GRASSI GIOVANNI BATTISTA;98;;7465;8;;car village;;;;non alimentare;"vendita esclusiva di autoveicoli 
";autoveicoli;settore non alimentare;1899
VIA MANZONI ALESSANDRO N. 31 ,via manzoni alessandro 031, isolato:254, accesso: accesso esterno, (z.d. 1);29/07/2003;VIA ;MANZONI ALESSANDRO;31;;230;1;;armani giorgio retail srl;;;;non alimentare;"articoli di abbigliamento e accessori 
";abbigliamento;settore non alimentare;257
VIA BONFADINI ROMUALDO localita' morsenchio num.000, ();23/02/1989;VIA ;BONFADINI ROMUALDO;;;3341;4;;;;;;;;;viii;24600
VIA ROMBON N. 34 int. mercato comunale coperto, isolato:098, accesso: accesso esterno, (z.d. 3);11/12/2003;VIA ;ROMBON;34;;2659;3;;in s mercato;;;;alimentare;"verra' rilasciata pi— avanti poiche' per ora stanno facendo lavori di ristrutturazione, la concessione parte dal 1.1.2004. 
";discount alimentare;settore alimentare;550
LGO ISARCO N. 2 , isolato:013, (z.d. 5);23/12/2003;LGO ;ISARCO;2;;4129;5;;;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: abbigliamento e accessori moda 
";abbigliamento;settore non alimentare;492
VIA VERRI PIETRO num.001/3, accesso: accesso esterno, ();27/02/2004;VIA ;VERRI PIETRO;1;3;223;1;;canali;;;;non alimentare;"abbigliamento maschile e accessori 
";abbigliamento uomo;settore non alimentare;434
VIA AMORETTI CARLO num.004/6, isolato:045, accesso: accesso esterno, (z.d. 8);29/07/2004;VIA;AMORETTI CARLO;4;6;7340;8;;;;;;alimentare,non alimentare;"supermercato 
";supermercato alimentare e non alimentare;settore alimentare/non aliment;1000
CSO SAN GOTTARDO N. 35 , isolato:114, accesso: accesso esterno, (z.d. 5);06/09/2004;CSO ;SAN GOTTARDO;35;;5203;5;;;;;;non alimentare;"libri - cartloleria 
";libreria;settore non alimentare;384
VIA DELLA SPIGA N. 30 ,via della spiga 030, isolato:184, accesso: accesso esterno, (z.d. 1);11/10/2004;VIA ;DELLA SPIGA;30;;226;1;;just cavalli;;;;non alimentare;"abbigliamento e accessori 
";boutique;settore non alimentare;343
VIA LORENTEGGIO N. 230 , isolato:051, accesso: accesso esterno, (z.d. 6);23/11/2004;VIA ;LORENTEGGIO;230;;5132;6;;media world;;;;non alimentare;;radio tv, elettrodom,app.radio;settore non alimentare;930
VIA PADOVA ang. v. olgettina num.000, isolato:176, accesso: accesso esterno, ();30/10/2002;VIA;PADOVA;;;2275;2;;;;;;alimentare,non alimentare;"centro commerciale 
";in attesa di revoca;settore alimentare/non aliment;7000
VIA ROGOREDO num.000, ();27/03/1998;VIA ;ROGOREDO;;;4373;4;;;;;;alimentare;;;vii,v;1499
VIA ROGOREDO num.000, ();13/03/1998;VIA ;ROGOREDO;;;4373;4;;;;;;non alimentare;;;xiv prodotti vari;1499
VIA ROGOREDO num.000, ();13/03/1998;VIA ;ROGOREDO;;;4373;4;;;;;;non alimentare;;;xiv prod. sport e tempo libero;1499
VIA ROGOREDO num.000, ();13/03/1998;VIA ;ROGOREDO;;;4373;4;;;;;;non alimentare;;;xiv prodotti per la casa;1499
VIA ROGOREDO num.000, ();13/03/1998;VIA ;ROGOREDO;;;4373;4;;;;;;non alimentare;;;xiv prodotti per la persona;1499
VLE CORSICA ang.terenzio (pii 11) num.000, ();15/04/2005;VLE ;CORSICA;;;3262;4;;;;;;non alimentare;"grande magazzino prescrizione: il flusso di traffico transitante in v.le corsica direzione periferia, oltre al segnale di obbligo deve essere delimitato da una barriera fisica, come un cordolo materializzato, che impedisca svolte a sinistra in via terenzio 
";in sospensiva;settore non alimentare;1581
VLE CORSICA ang.via terenzio (pii 11) num.000, ();15/04/2005;VLE ;CORSICA;;;3262;4;;;;;;alimentare,non alimentare;"supermercato eventuali prescrizioni : il flusso di traffico transitante in viale corsica direzione periferia, oltre al segnale di obbligo deve essere delimitato da una barriera fisica, come un cordolo materializzato, che impedisca svolte a sinistra in via terenzio 
";in sospensiva;settore alimentare/non aliment;2439
VIA TESSA DELIO N. 1 sup. vendita computata 1/10, isolato:245, (z.d. 1);26/04/2005;VIA ;TESSA DELIO;1;;1020;1;;;;;;non alimentare;"mobili 
";mobili;settore non alimentare;600
CSO GENOVA N. 16 , isolato:218, accesso: accesso esterno, (z.d. 1);20/06/2005;CSO ;GENOVA;16;;5164;1;;max E co max mara;;;;non alimentare;"articoli di abbigliamento, accessori di abbigliamento, calzature, borse, articoli in cuoio e pelle. 
";abbigliamento donna;settore non alimentare;585
GLL PASSARELLA N. 2 ,gll passarella 002, isolato:360, accesso: accesso esterno, (z.d. 1);05/07/2005;GLL ;PASSARELLA;2;;303;1;;nadine;;;;non alimentare;"abbigliamento ed accessori 
";abbigliamento;settore non alimentare;382
VLE CERTOSA N. 21 , isolato:330, accesso: accesso esterno, (z.d. 8);15/07/2005;VLE ;CERTOSA;21;;7174;8;;galbiati arreda;;;;non alimentare;"mobili, casalinghi, articoli di illuminazione e per l'arredamento, elettrodomestici, radio-tv 
";mobili;settore non alimentare;1016
VIA TORINO N. 61 ,via torino 061, isolato:399, (z.d. 1);29/07/2005;VIA ;TORINO;61;;543;1;;terranova;;;;non alimentare;"abbigliamento e accessori 
";abbigliamento;settore non alimentare;525
VIA MANZONI ALESSANDRO N. 31 piano iø,via manzoni alessandro 031, isolato:254, accesso: accesso esterno, (z.d. 1);11/05/2005;VIA ;MANZONI ALESSANDRO;31;;230;1;;sony italia spa.;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) attivita' prevalente: radio, televisori, dischi, strumenti musicali, materialeper ottica e fotografia 
";radio tv, elettrodom,app.radio;settore non alimentare;573
PZA SIGMUND FREUD N. 1 interno staz.ffss porta garib., isolato:259, (z.d. 9);14/10/2005;PZA ;SIGMUND FREUD;1;;1705;9;;;;;;alimentare,non alimentare;"supermercato 
";supermercato alimentare;settore alimentare/non aliment;800
VLE GIOVANNI DA CERMENATE N. 62 , isolato:023, (z.d. 5);14/10/2005;VLE ;GIOVANNI DA CERMENATE;62;;5261;5;;;;;;alimentare,non alimentare;"supermercato 
";supermercato alimentare;settore alimentare/non aliment;1130
VIA RUTILIA num.010/8, isolato:001, accesso: accesso interno, (z.d. 5);29/12/2005;VIA;RUTILIA;10;8;4229;5;;acquazzurra;;;;alimentare,non alimentare;;minimercati;settore alimentare/non aliment;355
CSO SEMPIONE N. 6 , isolato:136, accesso: accesso esterno, (z.d. 1);21/12/2005;CSO ;SEMPIONE;6;;7137;1;;sempione;;;;non alimentare;"abbigliamento e relativi accessori 
";abbigliamento;settore non alimentare;414
VIA DON RODRIGO num.007, (z.d. 5);28/04/2006;VIA ;DON RODRIGO;7;;5416;5;;;;;;alimentare,non alimentare;"supermercato 
";supermercato alimentare;settore alimentare/non aliment;751
VIA MONTE NAPOLEONE N. 13 ,via monte napoleone 013, isolato:314, accesso: accesso esterno, (z.d. 1);05/05/2006;VIA ;MONTE NAPOLEONE;13;;219;1;;aspesi;;;;non alimentare;"generi di abbigliamento e relativi accessori, profumi 
";abbigliamento;settore non alimentare;580
VIA LORENTEGGIO N. 219 (z.d. 6);23/05/2006;VIA ;LORENTEGGIO;219;;5132;6;;;;;;alimentare,non alimentare;"supermercato 
";;settore alimentare/non aliment;4300
VIA BALESTRIERI DOMENICO N. 6 (z.d. 1);23/06/2006;VIA ;BALESTRIERI DOMENICO;6;;7116;1;;;;;;non alimentare;"abbigliamento e calzature 
";;settore non alimentare;310
VLE MARTINI ENRICO N. 9 sup.di vendita computata al10%, (z.d. 4);23/06/2006;VLE ;MARTINI ENRICO;9;;4175;4;;;;;;non alimentare;"mobili 
";;settore non alimentare;755
VIA DEGLI OMENONI N. 2 ,via degli omenoni 002, isolato:383, accesso: accesso esterno, (z.d. 1);30/06/2006;VIA ;DEGLI OMENONI;2;;233;1;;white star adventure;;;;non alimentare;"libri, giornali, cartoleria, calzature, art. di abbigliamento e accessori ecc.
";cartoleria cancelleria;settore non alimentare;558
